41
1,5,19,3,6,0,2,
1,4,20,3,2,1,2,
1,7,18,2,2,1,2,
1,1,18,3,6,1,1,
1,2,17,4,5,0,2,
1,3,16,5,5,1,2,
3,0,15,6,2,0,
4,10,14,6,2,0,
4,8,15,5,2,0,
4,9,14,5,2,0,
4,5,16,4,2,0,
4,6,15,4,2,0,
4,7,14,4,2,0,
4,1,17,3,2,0,
4,2,16,3,2,0,
4,3,15,3,2,0,
4,4,14,3,2,0,
1,6,21,4,3,0,2,
3,0,21,5,4,0,
2,0,22,5,3,0,
2,0,21,3,2,0,
2,0,15,2,2,0,
2,0,14,2,2,0,
6,1,16,2,2,0,
5,1,24,3,2,0,
5,2,21,2,2,0,
5,3,24,7,3,0,
5,4,23,7,3,0,
5,5,13,6,2,0,
5,6,13,5,2,0,
5,9,13,2,2,0,
5,7,13,4,2,0,
5,8,13,3,2,0,
4,13,22,6,3,0,
4,12,23,6,3,0,
4,11,23,3,2,0,
4,14,17,2,2,0,
2,0,19,2,2,0,
7,0,20,1,0,1,
2,0,22,3,2,0,
2,0,20,2,2,0,
